"NO","名　　　　称","緯度","経度","住所","面積（�u）","面積（ha）","一時緊急　　　避難地","ブランコ _2連 ","ブランコ_3連","ブランコ_4連","スベリ台","低鉄棒_１連","低鉄棒_２連","低鉄棒_３連","低鉄棒_４連","低鉄棒_５連","シーソー","ジャングルジム","複合遊具_鋼製","砂場","ラダー","健康遊具","ﾌﾟﾚｲｽｶﾙﾌﾟﾁｬｰ","便所","水飲","ベンチ","四阿・ｼｪﾙﾀｰ","駐車場有料施設専用","駐車場","桜_ソメイヨシノ","桜_オオシマザクラ","桜_カンヒザクラ","桜_シダレザクラ","桜_カワズザクラ　","桜_ヤマザクラ","桜_その他","桜_合計","桜_その他品種","景色の良い公園"
"99","宗谷穂谷防災公園","34.79588538","135.7347132","枚方市宗谷２丁目２９−１","464.18","0.046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","○"
"100","尊延寺公園","34.80011737","135.7281665","枚方市尊延寺５丁目４５−９","935.63","0.094","","1","","","1","","1","","","","","","","1","","","","","1","13","1","","","","","","","","","","","",""
"101","空見の丘公園","34.80397124","135.7118159","枚方市津田山手２丁目２−２０","10400.06","1.04","○","","","","","","","","","","","","","","","","","","1","6","2","","","8","12","0","0","0","16","1","37","","○"
"102","代々池公園","34.80927752","135.6941401","枚方市野村中町２５−１６","1723.57","0.172","","","","1","2","","","","","","","1","","1","","","","","1","3","","","","5","0","0","0","0","0","0","5","",""
"103","高塚町北公園","34.80736327","135.6427766","枚方市高塚町２１−２７","856.76","0.086","","","","","","","","","","","","","","","","","","","1","4","","","","8","0","0","0","0","0","0","8","",""
"104","高塚町中央公園","34.80652272","135.643109","枚方市高塚町２１−２０","896.85","0.09","","1","","","","","","","","","","","1","","","","","","1","3","","","","0","0","0","0","0","6","0","6","",""
"105","津田駅前東公園","34.80028181","135.6994434","枚方市津田駅前２丁目２５−５","2821.82","0.282","","","","","","","","","","","","","1","","","6","","","1","11","1","","","0","0","0","1","0","2","2","5","エドヒガン",""
"106","津田南町西公園","34.80024883","135.7021834","枚方市津田南町１丁目２１−１０","622.09","0.062","","1","","","1","","","","","","","","","1","","","","","1","4","","","","0","0","0","0","0","0","2","2","エドヒガン",""
"107","津田南町東公園","34.7998359","135.7054686","枚方市津田南町１丁目３６−３","556","0.056","","1","","","1","","1","","","","","","","1","","","1","","1","5","","","","5","0","0","0","0","0","0","5","",""
"108","出口北公園","34.80322447","135.6209232","枚方市出口２丁目２７−１０","1391.98","0.139","","","","1","","","","","","","","1","1","1","","","1","","1","5","","","","2","0","0","0","0","0","0","2","",""
"109","出口西公園","34.80217933","135.6208361","大阪府枚方市出口６丁目１","983.58","0.098","","","","1","1","","","3","","","","","","1","","","","","1","3","","","","17","0","0","0","0","0","0","17","",""
"110","出口ふれあい公園","34.80307135","135.6267714","枚方市出口２丁目１−１６","6461.47","0.646","","1","","","1","","","1","","","","","","1","2","","","1","2","24","1","","","14","2","0","0","0","0","2","18","ヤエザクラ",""
"111","天満公園","34.86665552","135.6913309","枚方市楠葉丘２丁目１３","6714.47","0.671","","","","1","1","1","1","","","","","","","","","","2","1","1","6","","","","8","0","0","0","0","0","1","9","ヤエザクラ",""
"112","東部公園","34.80132991","135.745787","枚方市尊延寺（大字）２９８７","34000","3.4","","","","","","","","","","","","","2","","","7","","2","","","3","1","","0","0","0","0","0","0","65","65","","○"
"113","堂ノ背公園","34.80974314","135.7196995","枚方市杉１丁目３１−１","6193.81","0.619","","1","","","1","","1","","","","","","","1","","","","1","1","5","1","","","21","0","0","5","0","0","0","26","","○"
"114","堂山公園","34.81767611","135.6704285","枚方市堂山１丁目２２−４","16876.91","1.688","○","","","1","1","","","1","","","","","","1","","","3","1","1","32","3","","","30","0","0","0","0","0","0","30","",""
"115","長尾大池公園","34.82556246","135.7162333","枚方市長尾東町１丁目３３−５","589.69","0.059","","","","1","1","","","","","","","","","","","","","","1","2","","","","3","0","0","0","0","0","0","3","",""
"116","長尾台大谷公園","34.81681039","135.7171059","枚方市長尾台３丁目２８−２６","3010.26","0.301","","","","1","1","","","","","","","","","1","","","","","","5","","","","1","0","0","0","0","0","2","3","ヤエザクラ",""
"117","長尾台亀谷公園","34.82055121","135.7205302","枚方市長尾台４丁目１２−５","1516.05","0.152","","","","","","","","","","","","","","","","","","","","","","","","2","0","0","0","0","1","0","3","",""
"118","長尾台北公園","34.82117389","135.7168685","枚方市長尾台１丁目６−１７","1031.69","0.103","","","","1","1","","","","1","","","","","1","","","","","1","2","","","","13","0","0","0","0","3","0","16","",""
"119","長尾台東公園","34.81940465","135.7182962","枚方市長尾台２丁目２２−７","1044.52","0.104","","","","1","1","","","1","","","","","","1","","","","","1","3","","","","0","0","0","0","0","0","4","4","ヤエザクラ",""
"120","長尾台南公園","34.81842135","135.7166268","枚方市長尾台２丁目６−３","1045.85","0.105","","","","1","1","","1","","","","","1","","1","","","","","1","7","","","","4","0","0","0","0","3","0","7","",""
"121","長尾谷町公園","34.82420175","135.7027031","枚方市長尾谷町３丁目２０−８","1130.56","0.113","","1","","","1","","1","","","","1","","","1","","","","","1","1","","","","16","0","0","0","0","0","0","16","",""
"122","長尾西町公園","34.83162137","135.6995521","枚方市長尾西町１丁目４−３９","714.92","0.071","","1","","","1","","","","","","1","","","1","","","","","1","4","","","","","","","","","","","","",""
"123","長尾東公園","34.82541546","135.7227147","枚方市長尾東町３丁目１８−１７","524.41","0.052","","","","","","","","","","","","","1","","","","","","1","5","1","","","","","","","","","","","",""
"124","長尾元町公園","34.83019936","135.706721","枚方市長尾元町３丁目５７−３２","1640.54","0.164","","","","1","1","","","1","","","1","","","1","","2","3","","1","7","","","","","","","","","","","","",""
"125","中の池公園","34.8476097","135.6902535","枚方市東山２丁目４５","40071.87","4.007","○","","","1","1","","","","","","1","","","1","","","","1","1","7","1","1","","27","6","1","0","0","0","3","37","ｵｵﾔﾏｻﾞｸﾗ",""
"126","中の谷公園","34.85045399","135.6901284","枚方市東山１丁目４１−６","2449.28","0.245","","","","1","1","","","","","","","1","","1","","","","","1","7","","","","","","","","","","","","",""
"127","中振中央公園","34.79424459","135.6353977","枚方市南中振１丁目４１−２","1200.00","0.12","","1","","","1","","1","","","","","","","1","","","","","","2","","","","11","0","0","0","0","0","1","12","",""
"128","中宮公園","34.81915085","135.6657927","枚方市中宮東之町３９−１１","2122.95","0.212","","2","","","1","","","","","","","","","1","","","","","1","6","","","","0","0","0","0","0","0","2","2","サトザクラ",""
"129","渚栄公園","34.83549093","135.6603861","枚方市渚栄町２７−１２","540.51","0.054","","","","","","","","","","","","","1","1","","","","","1","3","","","","2","0","0","0","0","0","0","2","",""
"130","渚西公園","34.83344871","135.6526486","枚方市渚西３丁目２５−１","1823.35","0.182","","","","","1","","","","","","","","","1","","","","","1","6","1","","","4","0","0","0","0","0","0","4","",""
"131","渚東公園","34.83248629","135.6624303","枚方市渚東町３０−１２","827.96","0.083","","","","1","1","","","","","","","","","1","","","","","1","5","","","","5","0","0","0","0","1","0","6","",""
"132","渚公園","34.83296581","135.6609901","枚方市渚栄町６−２７","1162.86","0.116","","1","","","1","","","","","","","","","1","","","","","1","4","","","","10","0","0","0","0","0","0","10","",""
"133","茄子作北公園","34.7898576","135.6629785","枚方市茄子作北町４８−８","1146.00","0.115","","","","","","","","","","","","","1","1","1","","","","1","4","1","","","16","0","0","0","0","0","0","16","",""
"134","茄子作東公園","34.78502689","135.6699364","枚方市茄子作東町２４−１８","516","0.052","","","","","1","","","1","","","","1","","","","","","","1","3","","","","3","0","0","0","0","0","0","3","",""
"135","茄子作南公園","34.78224901","135.6680511","枚方市茄子作４丁目４９−１０","1346.13","0.135","","1","","","1","","","1","","","","","","1","1","","","","1","2","","","","2","0","0","0","0","0","0","2","",""
"136","七ツ松公園","34.85898088","135.6862426","枚方市楠葉朝日２丁目１５−１３","933.34","0.093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"137","西禁野公園","34.8206366","135.6531228","枚方市西禁野２丁目３２−１０","813.93","0.081","","1","","","","","","1","","","","","","1","","","","","1","3","1","","","","","","","","","","","",""
"138","西牧野公園","34.84547881","135.6625756","枚方市西牧野４丁目４−４８","613.55","0.061","","","","","","","","","","","","","2","","","","","","1","6","1","","","1","0","0","0","0","0","0","1","",""
"139","二の宮公園","34.85377237","135.6811377","枚方市船橋本町１丁目７１２−２","2654.36","0.265","","","","1","1","","","","","","","1","","1","","","2","1","1","7","","","","7","0","0","0","0","1","0","8","",""
"140","登公園","34.86877806","135.687444","枚方市楠葉野田３丁目３７−３２","859.21","0.086","","","","1","1","","","","","","","","","1","","","","","1","2","","","","9","0","0","0","0","0","0","9","",""
"141","走谷公園","34.80143272","135.6327459","枚方市走谷２丁目２５−１","979","0.098","","","","1","1","","","","","","","1","","","","","","","1","4","","","","","","","","","","","","",""
"142","花見の丘公園","34.81004985","135.7072681","枚方市津田山手１丁目３−１４","1600.26","0.16","","","","","","","","","","","","","","","","","","","","7","","","","11","0","0","0","0","1","0","12","サトザクラ",""
"143","日置公園","34.83060766","135.6857577","枚方市招提南町３丁目９−５","4742.42","0.474","","","","1","","","","","","","","","","","1","2","","1","1","11","","","","1","0","0","0","0","0","0","1","",""
"144","東香里南公園","34.77531117","135.655653","大阪府枚方市東香里南町１","510","0.051","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","",""
"145","東香里公園","34.78399054","135.6530722","枚方市東香里３丁目２９−１２","2866.45","0.287","","","","1","","","","1","","","","2","1","1","","","","","1","10","","","","9","0","0","0","0","0","0","9","ハクサンオオデマリ",""
"146","東長尾公園","34.82472511","135.7224315","枚方市長尾東町３丁目３０−１５","1187.32","0.119","","","","","1","","","","","","","","","1","","","","","","1","","","","2","0","0","0","0","0","0","2","",""
"147","東中振北公園","34.7986849","135.6432507","枚方市東中振１丁目２３−１","501.8","0.05","","","","","1","","","1","1","","","1","","1","","","","","1","2","","","","4","0","0","0","0","0","0","4","",""
"148","東中振中央公園","34.79745433","135.6410161","枚方市東中振１丁目１９−３５","2138.29","0.214","","","","1","1","","","","","","","","","1","1","","","1","1","8","","","","6","0","0","0","0","0","0","6","",""
"149","東中振西公園","34.79678372","135.63883","枚方市東中振１丁目１８−２１","886.07","0.089","","1","","","1","","","","","","","1","","1","1","","","","1","7","","","","3","0","0","0","0","0","0","3","",""
"150","東中振南公園","34.79726142","135.6437264","枚方市東中振１丁目３２−１２","504.95","0.05","","","","","","","","","1","","","1","","1","","","","","1","2","","","","5","0","0","0","0","0","0","5","",""
"151","東山公園","34.85429067","135.6908052","枚方市楠葉面取町２丁目５−１８","667.81","0.067","","","","","","","","","","","","","1","2","","","","","","7","","","","0","0","0","0","0","6","0","6","",""
"152","氷室台西公園","34.81019467","135.7272822","枚方市氷室台１丁目７−１","1363.87","0.136","","1","","","1","","","","","","","","","1","","","1","","","10","","","","","","","","","","","","",""
"153","氷室台南公園","34.80822906","135.7317298","枚方市氷室台１丁目３４−７","3253.96","0.325","","1","","","3","","","1","","","","1","","1","","","2","","1","15","","","","16","0","0","0","0","0","0","16","",""
"154","平野公園","34.83570478","135.6803187","枚方市招提中町１丁目４４−１８","1123.23","0.112","","","","","","","","","","","","","1","1","","","","1","1","4","","","","0","0","0","0","0","0","3","3","サトザクラ",""
"155","藤阪西公園","34.82124841","135.6978007","枚方市藤阪西町１−４","1088.61","0.109","","","","1","","","","1","","","","","1","","1","","","","1","14","","","","7","0","0","0","0","0","0","7","",""
"156","藤阪東町北公園","34.81983168","135.7139996","枚方市藤阪東町３丁目４−３","628.78","0.063","","","","","","","","","","","","","","","","","","","","","","","","2","0","0","0","0","0","0","2","",""
"157","藤阪東町中央公園","34.82085201","135.7112187","枚方市藤阪東町１丁目","4.400.01","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"158","藤阪東町南公園","34.81877605","135.714484","枚方市藤阪東町３丁目９−７","1027.60","0.103","","","","","","","","","","","","","","","","","","","","","","","","13","0","0","0","0","3","0","16","",""
"159","藤阪東公園","34.82056515","135.700325","枚方市藤阪西町６−５２","2137.33","0.214","","","","","","","","","","","","","","","","","","","1","6","","","","0","10","0","0","0","0","0","10","",""
"160","藤阪宮山公園","34.81626579","135.7090857","枚方市藤阪天神町１９−９","1712.53","0.171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"161","藤阪公園","34.82074563","135.7029319","枚方市藤阪元町３丁目１８−２","806.61","0.081","","1","","","1","","1","","","","","","","1","","","","","1","4","","","","4","0","0","0","0","0","1","5","ヤエザクラ",""
"162","武生田公園","34.79861741","135.7263033","枚方市尊延寺５丁目５２−４","3100.00","0.31","","","","1","1","","","1","","","","","","1","","","","","","13","","","","9","0","0","0","0","0","0","9","",""
"163","船橋公園","34.85374795","135.6843545","枚方市東船橋１丁目２９−３","2097.98","0.21","","","","1","1","","","","","","","","","1","","","2","","1","7","1","","","3","0","2","0","0","0","0","5","",""
"164","古城公園","34.80242336","135.7059047","枚方市津田南町２丁目３７−１","1578.11","0.158","","1","","","","","","1","","","","1","","","","","","","1","","","","","0","0","0","0","0","9","0","9","",""
"165","坊主池公園","34.80867929","135.6460809","枚方市岡山手町１１−７２","7695.90","0.77","","","","","1","","","","","","","1","","1","","","3","","1","14","1","","","0","0","13","0","0","0","3","16","サトザクラ",""
"166","星ケ丘公園","34.80947404","135.6616322","枚方市星丘２丁目１０−３７","4472.12","0.447","","1","","","","","","1","","","","","1","1","","7","2","","1","7","1","","","","","","","","","","","",""
"167","穂谷公園","34.79557435","135.7290922","枚方市穂谷２丁目２−２２","1236.65","0.124","","1","","","","","","","","","","","","","","","","1","","3","1","","","","","","","","","","","",""
"168","牧野公園","34.84212578","135.6685253","枚方市牧野阪２丁目１５","10747.33","1.075","○","","","1","1","","","","","","","1","1","2","","","3","2","1","15","","","","30","2","0","4","0","0","9","45","ヤエザクラ",""
"169","松美ヶ丘公園","34.83326691","135.7027577","枚方市長尾西町３丁目１０−３","521","0.052","","","","","","","","","","","","","1","","","","","","1","3","1","","","","","","","","","","","",""
"170","三ツ矢公園","34.81479311","135.6421697","枚方市三矢町６−１０","819.57","0.082","","","","","","","","","","","","","1","","","2","","1","1","1","1","","","3","0","0","1","0","0","0","4","",""
"171","南谷公園","34.79030352","135.6466116","枚方市香里ケ丘８丁目２１−１０","3280.70","0.328","","","","1","","","","","","","","1","","","","","","","1","5","","","","","","","","","","","","",""
"172","南中振公園","34.79392268","135.6291359","枚方市南中振２丁目４−７","2542.97","0.254","","1","","","1","","","","","","","","","","","3","","","1","6","","","","9","1","4","0","0","0","5","19","サトザクラ",""
"173","南船橋公園","34.84970074","135.6821628","枚方市南船橋２丁目１５−１４","801.51","0.08","","1","","","","","","","","","","","1","1","","","","","1","5","","","","8","0","0","0","0","0","0","8","",""
"174","宮之阪東公園","34.81177417","135.6621127","枚方市宮之阪４丁目１８−２２","1353.60","0.135","","1","","","1","","","","","","","","","1","","","","","1","4","1","","","0","0","0","0","0","0","0","0","",""
"175","宮之阪公園","34.81271026","135.6583408","枚方市宮之阪３丁目１２−１","555.49","0.056","","1","","","1","","1","","","","","1","","1","","","","","1","2","","","","","","","","","","","","",""
"176","村野西町公園","34.80013181","135.6619041","枚方市村野西町４","951.61","0.095","","1","","","1","","","1","","","","","","1","","","","","","4","","","","3","0","0","0","0","0","0","3","",""
"177","村野東町公園","34.80030468","135.6705973","枚方市村野東町２７−７","490.44","0.049","","1","","","1","","","1","","","","","","","","","","","1","3","","","","","","","","","","","","",""
"178","村野南町公園","34.79900666","135.6626041","枚方市村野南町","3161.18","0.316","","","","","","","","1","","","","","1","1","","","","","1","4","","","","0","0","0","0","0","0","0","0","",""
"179","村野公園","34.80296253","135.6655698","枚方市村野本町９−２","1095.00","0.11","","","","1","1","","","","","","","1","","","","","","","","3","","","","15","0","0","0","0","0","0","15","",""
"180","三栗東公園","34.83579199","135.6598676","枚方市三栗１丁目１７−２０","809.49","0.081","","","","1","1","","","1","","","","","","1","","","","","1","4","","","","2","0","0","0","0","0","0","2","",""
"181","三栗南公園","34.83487289","135.6574727","枚方市三栗１丁目２４−１２","498.43","0.05","","","","1","1","","","","","","","","","1","","","","","1","3","","","","","","","","","","","","",""
"182","面取公園","34.85621427","135.6850233","枚方市楠葉朝日１丁目１５−６","1038.76","0.104","","","","1","1","","","","","","","","","1","","","","","1","6","","","","","","","","","","","","",""
"183","薬師谷公園","34.82787843","135.7034306","枚方市長尾西町１丁目３０−２９","6513.00","0.651","","","","1","1","","","","","","","","","1","","","2","","1","3","","","","4","0","0","0","0","5","0","9","",""
"184","養父東公園","34.84568942","135.675069","枚方市養父東町５−１","3068.00","0.307","","","","1","1","","","","","","","","","1","","","","1","1","2","","","","3","0","0","0","0","0","0","3","",""
"185","養父元町公園","34.84909291","135.6719119","枚方市養父元町４６−１","2661.05","0.266","","","","","","","","","","","","","1","1","","","","","1","12","1","","","0","2","0","0","0","0","0","2","",""
"186","山原公園","34.85201111","135.6874211","枚方市東船橋２丁目１０９−１９","1415.24","0.142","","","","1","","","","","","","","","","1","","","","","1","2","1","","","6","0","0","0","0","0","0","6","",""
"187","淀見公園","34.79316149","135.6431202","枚方市香里ケ丘８丁目５","5426.24","0.543","","","","1","1","","","1","","","","1","","1","","","","","1","16","","","","52","0","0","0","0","0","7","59","",""
"188","らんぱん公園","34.84064134","135.6662145","枚方市牧野阪３丁目５−１０","629","0.063","","","","","","","","","","","","","","","","","","","1","1","1","","","0","0","0","0","0","0","2","2","サトザクラ",""
"189","六反町公園","34.86080303","135.6866342","枚方市楠葉朝日３丁目７−１０","1033.05","0.103","","1","","","1","","","1","","","","","","1","","","","","1","3","","","","","","","","","","","","",""
"190","わさ谷公園","34.7992363","135.6398789","枚方市東中振１丁目１５−７","583.98","0.058","","1","","","1","","","","","","","","","1","","","","","1","4","","","","","","","","","","","","",""
"191","王仁公園","34.81796782","135.7069757","枚方市王仁公園１−１","92940.00","9.294","○","1","","","1","","1","","","","1","","","1","1","","","2","3","108","5","2","","267","21","10","2","0","64","65","429","ヤエベニシダレ",""
"192","藤阪北町西公園","34.82401603","135.7031792","枚方市藤阪北町１−７","","","","","","","1","","","1","","","","","","","","","","","","","","","","3","0","0","0","0","0","0","3","",""
"193","藤阪北町公園","34.82349736","135.7049549","枚方市藤阪北町４−１３","","","","1","","","1","","","1","","","1","1","","1","","","","","","4","","","","4","0","0","0","0","0","0","4","",""
"194","北谷川緑地","34.82384639","135.7012825","枚方市長尾谷町３丁目１０−１","","","","","","","","","","","","","","","","","","","","","","3","1","","","11","0","0","0","0","0","0","11","",""
"195","日置台緑地","34.83053099","135.6875657","枚方市招提南町３丁目２３−１０","","","","","","","","","","","","","","","","","","","","1","","10","","","","9","0","0","0","0","0","0","9","",""
"196","山之上北公園","34.80419569","135.6494206","枚方市山之上西町５−１２","","","","1","","1","1","","","1","","","","","","1","","","1","","","3","","","","","","","","","","","","",""
"197","伊加賀西町北公園","34.80704978","135.6252373","枚方市伊加賀西町５５−１８","","","","1","","","1","","","","","","","","","1","","","","","1","6","2","","","","","","","","","","","",""
"198","伊加賀西町東公園","34.80651338","135.6301376","枚方市伊加賀西町７１","","","","1","","","1","","","","","","","","","1","","","","","1","5","","","","","","","","","","","","",""
"199","伊加賀西町南公園","34.80489099","135.6239008","枚方市伊加賀西町４５−２２","","","","","","1","","","","","","","","","1","1","","","","","1","7","2","","","2","0","0","0","0","0","0","2","",""
"200","伊加賀西町公園","34.80954097","135.6298305","枚方市伊加賀西町３０−４０","","","","","","1","1","","","","","","","","","1","","","","","1","6","2","","","7","0","0","0","0","0","1","8","",""
